id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-10-10 21:02:03.689019,,,,,,f,,{},info,49,49,"{{dirty,mitt,a},{red,milk,NA},{wet,mop,a},{silver,maid,a},{plastic,dinosaur,a},{colored,stroller,a},{dirty,candle,a},{green,tube,a},{purple,picture,a},{mechanic,shoe,a},{purple,water,NA},{bright,feather,a},{grey,sky,a},{green,shovel,a},{bottom,bunk,a},{yellow,brush,a},{pink,hat,a},{outdoor,art,NA},{red,village,a},{green,game,a}}"
2,2019-10-10 21:02:07.872039,dirty,mitt,,,,f,,{},info,112,49,3
3,2019-10-10 21:02:10.174179,red,milk,,,,f,,{},info,112,49,1
83,2019-10-10 21:03:21.306982,juicy,meat,,,,f,,{},info,116,43,5
4,2019-10-10 21:02:13.221246,wet,mop,,,,f,,{},info,112,49,3
5,2019-10-10 21:02:16.645397,silver,maid,,,,f,,{},info,112,49,1
6,2019-10-10 21:02:22.312531,,,,,,f,,{},info,44,44,"{{hot,breakfast,a},{giant,gorilla,a},{dark,mouse,a},{brown,cow,a},{brown,gravy,NA},{brown,girl,a},{green,slide,a},{purple,pad,a},{wet,bottom,a},{furry,foot,a},{hot,jeans,NA},{giant,dog,a},{yellow,shoe,a},{purple,glass,NA},{red,street,a},{purple,bat,a},{plastic,fork,a},{dirty,honey,NA},{red,tractor,a},{furry,dog,a}}"
7,2019-10-10 21:02:23.606605,plastic,dinosaur,,,,f,,{},info,112,49,6
89,2019-10-10 21:03:24.099909,yellow,train,,,,f,,{},info,118,64,4
8,2019-10-10 21:02:27.419711,colored,stroller,,,,f,,{},info,112,49,5
9,2019-10-10 21:02:28.174564,hot,breakfast,,,,f,,{},info,113,44,4
102,2019-10-10 21:03:31.835336,,attentioncheck,,,,f,,{},info,114,96,5
10,2019-10-10 21:02:30.827606,dirty,candle,,,,f,,{},info,112,49,2
11,2019-10-10 21:02:33.975474,green,tube,,,,f,,{},info,112,49,3
13,2019-10-10 21:02:35.097133,,,,,,f,,{},info,96,96,"{{red,lip,a},{silky,blanket,a},{soapy,floor,a},{thick,branch,a},{sandy,pocket,a},{wooden,leg,a},{purple,bear,a},{purple,dinosaur,a},{orange,bag,a},{brown,closet,a},{giant,movie,a},{rubber,chicken,a},{red,bite,a},{grey,hair,a},{olive,oil,NA},{blind,mom,a},{orange,pear,a},{concrete,feather,a},{purple,pillow,a},{dirty,straw,a}}"
198,2019-10-10 21:04:26.737199,wet,hose,,,,f,,{},info,120,53,1
12,2019-10-10 21:02:35.077593,giant,gorilla,,,,f,,{},info,113,44,3
