X,adj,noun,session,n,adj_stem,noun_stem,article,network_id,attncheckscore,x1,x2,x3,x4,x5,range,mean_typ
1,brown,cow,1,14,brown,cow,a,44,1,4,3,4,3,NA,1,3.5
2,red,apple,1,14,red,appl,an,102,1,7,5,6,3,NA,2,5.25
3,purple,cup,1,13,purpl,cup,a,40,1,3,3,2,3,NA,0,2.75
4,green,frog,1,12,green,frog,a,76,1,6,6,7,NA,NA,0,6.333333333333333
5,purple,cat,1,12,purpl,cat,a,99,1,2,1,1,1,NA,1,1.25
6,yellow,duck,1,12,yellow,duck,a,10,1,6,3,5,6,NA,3,5
7,red,bird,1,11,red,bird,a,99,1,2,3,3,2,NA,1,2.5
8,red,nose,1,10,red,nose,a,82,1,2,2,1,3,NA,0,2
9,wet,hand,1,10,wet,hand,a,70,1,4,2,3,3,NA,2,3
10,brown,bear,1,7,brown,bear,a,30,1,6,5,3,6,NA,1,5
11,green,dog,1,6,green,dog,a,47,1,2,1,1,1,NA,1,1.25
12,green,guy,1,6,green,gui,a,102,1,1,1,1,1,NA,0,1
13,yellow,circle,1,6,yellow,circl,a,39,1,3,3,6,NA,NA,0,4
14,yellow,sun,1,6,yellow,sun,a,61,1,7,6,7,7,NA,1,6.75
15,bright,day,1,5,bright,dai,a,19,1,5,7,6,4,NA,2,5.5
16,green,ball,1,5,green,ball,a,82,1,3,3,3,3,NA,0,3
17,green,star,1,5,green,star,a,56,1,1,3,5,3,NA,2,3
18,naked,baby,1,5,nake,babi,a,37,1,5,4,3,NA,NA,1,4
19,red,block,1,5,red,block,a,25,1,3,5,4,3,NA,2,3.75
20,red,light,1,5,red,light,a,45,1,3,5,3,3,NA,2,3.5
21,bright,fire,1,4,bright,fire,a,4,1,6,7,5,5,NA,1,5.75
22,bright,light,1,4,bright,light,a,4,1,3,5,5,4,NA,2,4.25
23,bright,night,1,4,bright,night,a,74,1,2,2,2,3,NA,0,2.25
24,brown,page,1,4,brown,page,a,39,1,2,2,4,NA,NA,0,2.6666666666666665
25,fat,girl,1,4,fat,girl,a,25,1,3,3,3,3,NA,0,3
26,green,circle,1,4,green,circl,a,16,1,3,3,3,3,NA,0,3
27,red,ball,1,4,red,ball,a,6,1,3,5,6,NA,NA,2,4.666666666666667
28,red,barn,1,4,red,barn,a,47,1,6,3,5,5,NA,3,4.75
29,red,car,1,4,red,car,a,12,1,3,3,3,3,NA,0,3
30,red,cup,1,4,red,cup,a,55,1,4,3,6,2,NA,1,3.75
31,red,dog,1,4,red,dog,a,37,1,2,3,2,NA,NA,1,2.3333333333333335
32,red,pole,1,4,red,pole,a,31,1,2,2,3,3,NA,0,2.5
33,red,scarf,1,4,red,scarf,a,29,1,3,3,4,3,NA,0,3.25
34,rubber,duck,1,4,rubber,duck,a,69,1,3,5,3,3,NA,2,3.5
35,yellow,balloon,1,4,yellow,balloon,a,54,1,5,3,3,3,NA,2,3.5
36,yellow,cow,1,4,yellow,cow,a,70,1,1,1,1,1,NA,0,1
37,dirty,dish,1,3,dirti,dish,a,99,1,4,4,4,4,NA,0,4
