id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-10-09 23:43:39.576177,,,,,,f,,{},info,5,5,"{{red,sunset,a},{red,hole,a},{purple,wheel,a},{purple,octopus,an},{solid,food,NA},{brown,clump,a},{slippery,slipper,a},{dark,cow,a},{dark,barn,a},{wet,sock,a},{yellow,duckling,a},{pink,crayon,a},{dark,owl,an},{orange,balloon,a},{solid,smack,a},{green,knife,a},{bright,card,a},{wooden,stool,a},{yellow,flag,a},{plastic,tunnel,a}}"
15,2019-10-09 23:44:29.977549,yellow,duckling,,,,t,2019-10-09 23:45:30.777895,{},info,6,5,5
31,2019-10-09 23:44:59.322859,wet,girl,,,,t,2019-10-09 23:45:59.280244,{},info,7,2,3
11,2019-10-09 23:44:23.662011,red,picture,,,,t,2019-10-09 23:45:59.294999,{},info,7,2,3
32,2019-10-09 23:45:01.638528,sweet,baby,,,,t,2019-10-09 23:45:59.303599,{},info,7,2,2
13,2019-10-09 23:44:27.146851,evergreen,tree,,,,t,2019-10-09 23:45:59.312409,{},info,7,2,4
14,2019-10-09 23:44:27.603535,wet,sock,,,,t,2019-10-09 23:45:30.786924,{},info,6,5,3
33,2019-10-09 23:45:04.675698,pink,tongue,,,,t,2019-10-09 23:45:59.320935,{},info,7,2,6
19,2019-10-09 23:44:40.235275,naked,butt,,,,t,2019-10-09 23:45:59.329095,{},info,7,2,6
21,2019-10-09 23:44:42.461964,blonde,hair,,,,t,2019-10-09 23:45:59.343037,{},info,7,2,4
35,2019-10-09 23:45:06.952784,red,ground,,,,t,2019-10-09 23:45:59.351963,{},info,7,2,4
12,2019-10-09 23:44:24.265103,dark,barn,,,,t,2019-10-09 23:45:30.795057,{},info,6,5,3
23,2019-10-09 23:44:44.689887,dark,cloud,,,,t,2019-10-09 23:45:59.360556,{},info,7,2,3
9,2019-10-09 23:44:16.793446,,,,,,f,,{},info,2,2,"{{red,picture,a},{evergreen,tree,a},{naked,butt,a},{blonde,hair,a},{dark,cloud,a},{orange,boy,a},{bright,hair,a},{bottom,stair,a},{red,crab,a},{wet,girl,a},{sweet,baby,a},{pink,tongue,a},{red,ground,NA},{yellow,curtain,a},{giant,stick,a},{dirty,slipper,a},{yellow,key,a},{fat,food,NA},{hot,aspen,an},{back,door,a}}"
24,2019-10-09 23:44:47.586867,orange,boy,,,,t,2019-10-09 23:45:59.369283,{},info,7,2,1
46,2019-10-09 23:46:01.75294,yellow,dragon,,,,f,,{},info,8,3,3
10,2019-10-09 23:44:19.44904,dark,cow,,,,t,2019-10-09 23:45:30.803242,{},info,6,5,3
26,2019-10-09 23:44:49.850128,bright,hair,,,,t,2019-10-09 23:45:59.377964,{},info,7,2,3
57,2019-10-09 23:46:34.806413,fat,leg,,,,f,,{},info,8,3,4
37,2019-10-09 23:45:16.373602,yellow,curtain,,,,t,2019-10-09 23:45:59.386458,{},info,7,2,3
8,2019-10-09 23:44:14.907372,slippery,slipper,,,,t,2019-10-09 23:45:30.810973,{},info,6,5,3
27,2019-10-09 23:44:52.41784,bottom,stair,,,,t,2019-10-09 23:45:59.395373,{},info,7,2,7
47,2019-10-09 23:46:13.613174,yellow,curve,,,,f,,{},info,8,3,5
28,2019-10-09 23:44:55.036584,red,crab,,,,t,2019-10-09 23:45:59.404814,{},info,7,2,3
38,2019-10-09 23:45:18.842361,giant,stick,,,,t,2019-10-09 23:45:59.412821,{},info,7,2,4
7,2019-10-09 23:44:09.292889,brown,clump,,,,t,2019-10-09 23:45:30.818921,{},info,6,5,5
39,2019-10-09 23:45:27.936103,dirty,slipper,,,,t,2019-10-09 23:45:59.421017,{},info,7,2,3
40,2019-10-09 23:45:29.681177,yellow,key,,,,t,2019-10-09 23:45:59.429389,{},info,7,2,3
41,2019-10-09 23:45:30.52372,fat,food,,,,t,2019-10-09 23:45:59.437309,{},info,7,2,4
6,2019-10-09 23:44:05.027622,solid,food,,,,t,2019-10-09 23:45:30.826781,{},info,6,5,6
53,2019-10-09 23:46:23.957535,bright,star,,,,f,,{},info,8,3,5
48,2019-10-09 23:46:15.603458,grey,bridge,,,,f,,{},info,8,3,4
42,2019-10-09 23:45:30.967054,hot,aspen,,,,t,2019-10-09 23:45:59.445501,{},info,7,2,3
43,2019-10-09 23:45:31.589147,back,door,,,,t,2019-10-09 23:45:59.453829,{},info,7,2,5
44,2019-10-09 23:45:32.07061,,attentioncheck,,,,t,2019-10-09 23:45:59.461799,{},info,7,2,6
5,2019-10-09 23:44:01.227081,purple,octopus,,,,t,2019-10-09 23:45:30.835083,{},info,6,5,2
49,2019-10-09 23:46:17.715952,red,arrow,,,,f,,{},info,8,3,3
50,2019-10-09 23:46:19.348442,bright,shirt,,,,f,,{},info,8,3,6
4,2019-10-09 23:43:56.269701,purple,wheel,,,,t,2019-10-09 23:45:30.842926,{},info,6,5,2
3,2019-10-09 23:43:51.200491,red,hole,,,,t,2019-10-09 23:45:30.851829,{},info,6,5,2
54,2019-10-09 23:46:26.472457,purple,bin,,,,f,,{},info,8,3,2
2,2019-10-09 23:43:43.360407,red,sunset,,,,t,2019-10-09 23:45:30.859916,{},info,6,5,3
51,2019-10-09 23:46:20.768062,green,roof,,,,f,,{},info,8,3,5
