id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-10-09 23:42:36.870751,,,,,,f,,{},adjective_noun_source,1,
2,2019-10-09 23:42:36.88066,,,,,,f,,{},adjective_noun_source,2,
3,2019-10-09 23:42:36.887054,,,,,,f,,{},adjective_noun_source,3,
4,2019-10-09 23:42:36.892658,,,,,,f,,{},adjective_noun_source,4,
5,2019-10-09 23:42:36.898163,,,,,,f,,{},adjective_noun_source,5,
6,2019-10-09 23:43:39.488561,,,,,,t,2019-10-09 23:45:30.658285,{},node,5,1
8,2019-10-09 23:45:53.745821,,,,,,f,,{},node,3,3
7,2019-10-09 23:44:16.71982,,,,,,t,2019-10-09 23:45:59.250512,{},node,2,2
9,2019-10-09 23:47:49.68883,,,,,,t,2019-10-09 23:49:08.579502,{},node,1,4
10,2019-10-09 23:49:50.835296,,,,,,t,2019-10-09 23:51:40.455661,{},node,5,5
11,2019-10-09 23:50:41.453286,,,,,,t,2019-10-09 23:52:23.215506,{},node,3,6
13,2019-10-09 23:52:31.991013,,,,,,t,2019-10-09 23:53:40.83248,{},node,1,8
12,2019-10-09 23:52:25.146174,,,,,,t,2019-10-09 23:53:41.127859,{},node,5,7
14,2019-10-09 23:55:12.28968,,,,,,f,,{},node,3,9
15,2019-10-10 00:05:23.086041,,,,,,f,,{},node,5,10
