id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,2019-10-09 04:04:31.335684,,,,,,f,,{},info,7,7,"{{plastic,air,NA},{yellow,grass,NA},{green,belt,a},{yellow,bunny,a},{yellow,outfit,an},{pink,bird,a},{red,dinosaur,a},{male,alligator,an},{rainy,season,a},{furry,coach,a},{purple,shovel,a},{purple,honey,NA},{green,apple,an},{red,soup,NA},{yellow,fireman,a},{sweet,rose,a},{upstairs,mother,a},{round,ball,a},{green,hair,a},{brown,apple,an}}"
2,2019-10-09 04:04:34.15721,plastic,air,,,,f,,{},info,11,7,1
3,2019-10-09 04:04:36.987124,yellow,grass,,,,f,,{},info,11,7,3
28,2019-10-09 04:05:01.063006,green,apple,,,,f,,{},info,11,7,4
4,2019-10-09 04:04:39.130123,green,belt,,,,f,,{},info,11,7,2
5,2019-10-09 04:04:41.739168,yellow,bunny,,,,f,,{},info,11,7,2
42,2019-10-09 04:05:08.35261,red,bear,,,,f,,{},info,13,10,1
6,2019-10-09 04:04:43.8826,yellow,outfit,,,,f,,{},info,11,7,3
7,2019-10-09 04:04:44.355327,,,,,,f,,{},info,5,5,"{{red,sunset,a},{red,hole,a},{purple,wheel,a},{purple,octopus,an},{solid,food,NA},{brown,clump,a},{slippery,slipper,a},{dark,cow,a},{dark,barn,a},{wet,sock,a},{yellow,duckling,a},{pink,crayon,a},{dark,owl,an},{orange,balloon,a},{solid,smack,a},{green,knife,a},{bright,card,a},{wooden,stool,a},{yellow,flag,a},{plastic,tunnel,a}}"
29,2019-10-09 04:05:01.113988,brown,clump,,,,f,,{},info,12,5,3
8,2019-10-09 04:04:46.036746,pink,bird,,,,f,,{},info,11,7,2
9,2019-10-09 04:04:46.696803,red,sunset,,,,f,,{},info,12,5,2
