id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-10-09 04:05:24.980659,,,,,,f,,{},question,1,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""2""}"
2,2019-10-09 04:05:38.599181,,,,,,f,,{},question,3,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""5""}"
3,2019-10-09 04:05:45.220995,,,,,,f,,{},question,2,1,questionnaire,"{""clarity"":""8"",""comments"":"""",""engagement"":""9"",""difficulty"":""7""}"
4,2019-10-09 04:05:56.334653,,,,,,f,,{},question,4,1,questionnaire,"{""clarity"":""7"",""comments"":"""",""engagement"":""10"",""difficulty"":""4""}"
5,2019-10-09 04:06:56.652459,,,,,,f,,{},question,5,1,questionnaire,"{""clarity"":""8"",""comments"":"""",""engagement"":""9"",""difficulty"":""5""}"
6,2019-10-09 04:07:27.390227,,,,,,f,,{},question,6,1,questionnaire,"{""clarity"":""9"",""comments"":"""",""engagement"":""5"",""difficulty"":""1""}"
7,2019-10-09 04:09:52.20412,,,,,,f,,{},question,7,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""3""}"
8,2019-10-09 04:10:42.375003,,,,,,f,,{},question,8,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""1""}"
9,2019-10-09 04:12:31.565093,,,,,,f,,{},question,9,1,questionnaire,"{""clarity"":""10"",""comments"":""no"",""engagement"":""10"",""difficulty"":""3""}"
10,2019-10-09 04:12:43.701788,,,,,,f,,{},question,11,1,questionnaire,"{""clarity"":""5"",""comments"":"""",""engagement"":""10"",""difficulty"":""1""}"
11,2019-10-09 04:13:15.936884,,,,,,f,,{},question,10,1,questionnaire,"{""clarity"":""10"",""comments"":""No."",""engagement"":""9"",""difficulty"":""1""}"
12,2019-10-09 04:14:45.001408,,,,,,f,,{},question,13,1,questionnaire,"{""clarity"":""6"",""comments"":"""",""engagement"":""7"",""difficulty"":""7""}"
13,2019-10-09 04:14:47.635677,,,,,,f,,{},question,12,1,questionnaire,"{""clarity"":""9"",""comments"":"""",""engagement"":""10"",""difficulty"":""2""}"
14,2019-10-09 04:15:24.197005,,,,,,f,,{},question,15,1,questionnaire,"{""clarity"":""9"",""comments"":""nice"",""engagement"":""8"",""difficulty"":""3""}"
15,2019-10-09 04:15:38.157712,,,,,,f,,{},question,14,1,questionnaire,"{""clarity"":""4"",""comments"":"""",""engagement"":""5"",""difficulty"":""5""}"
16,2019-10-09 04:16:54.078802,,,,,,f,,{},question,16,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""1""}"
17,2019-10-09 04:17:15.599071,,,,,,f,,{},question,18,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""10"",""difficulty"":""1""}"
18,2019-10-09 04:17:16.252837,,,,,,f,,{},question,17,1,questionnaire,"{""clarity"":""5"",""comments"":""nice"",""engagement"":""7"",""difficulty"":""3""}"
19,2019-10-09 04:18:14.729177,,,,,,f,,{},question,19,1,questionnaire,"{""clarity"":""7"",""comments"":""good"",""engagement"":""6"",""difficulty"":""6""}"
20,2019-10-09 04:18:53.164887,,,,,,f,,{},question,22,1,questionnaire,"{""clarity"":""7"",""comments"":"""",""engagement"":""8"",""difficulty"":""8""}"
21,2019-10-09 04:19:09.255288,,,,,,f,,{},question,23,1,questionnaire,"{""clarity"":""8"",""comments"":""I think it could be changed to explain better what I was meant to do, as it ended rather abruptly."",""engagement"":""7"",""difficulty"":""1""}"
22,2019-10-09 04:19:27.292208,,,,,,f,,{},question,24,1,questionnaire,"{""clarity"":""8"",""comments"":"""",""engagement"":""8"",""difficulty"":""1""}"
23,2019-10-09 04:20:19.798144,,,,,,f,,{},question,20,1,questionnaire,"{""clarity"":""6"",""comments"":"""",""engagement"":""7"",""difficulty"":""6""}"
24,2019-10-09 04:20:41.893784,,,,,,f,,{},question,26,1,questionnaire,"{""clarity"":""5"",""comments"":"""",""engagement"":""1"",""difficulty"":""1""}"
25,2019-10-09 04:22:21.671653,,,,,,f,,{},question,28,1,questionnaire,"{""clarity"":""5"",""comments"":"""",""engagement"":""5"",""difficulty"":""5""}"
26,2019-10-09 04:23:37.604783,,,,,,f,,{},question,29,1,questionnaire,"{""clarity"":""6"",""comments"":"""",""engagement"":""6"",""difficulty"":""4""}"
27,2019-10-09 04:24:22.180586,,,,,,f,,{},question,30,1,questionnaire,"{""clarity"":""10"",""comments"":"""",""engagement"":""8"",""difficulty"":""1""}"
28,2019-10-09 04:34:28.64761,,,,,,f,,{},question,34,1,questionnaire,"{""clarity"":""7"",""comments"":""no"",""engagement"":""7"",""difficulty"":""5""}"
29,2019-10-09 04:45:24.326251,,,,,,f,,{},question,35,1,questionnaire,"{""clarity"":""10"",""comments"":""I'm not sure if a glitch but I never did a task. It came to this page after instructions."",""engagement"":""10"",""difficulty"":""1""}"
